stage_name,stage_date,stage_length,stage_GC_rank,stage_GC_rider,stage_GC_time,stage_GC_team
Stage 1 (ITT) | Fossacesia Marina - Ortona,06/05,(19.6k),1,EVENEPOEL Remco ,0:21:18,Soudal - Quick Step
Stage 5 | Atripalda - Salerno,10/05,(171k),79,PASQUALON Andrea,18:09,Bahrain - Victorious
Stage 5 | Atripalda - Salerno,10/05,(171k),80,GROVES Kaden,18:23,Alpecin-Deceuninck
Stage 5 | Atripalda - Salerno,10/05,(171k),81,HIRT Jan,19:07,Soudal - Quick Step
Stage 5 | Atripalda - Salerno,10/05,(171k),82,MARCELLUSI Martin,19:27,Green Project-Bardiani CSF-Faizanè
Stage 5 | Atripalda - Salerno,10/05,(171k),83,BETTIOL Alberto,19:34,EF Education-EasyPost
Stage 5 | Atripalda - Salerno,10/05,(171k),84,RODRÍGUEZ Óscar,19:57,Movistar Team
Stage 5 | Atripalda - Salerno,10/05,(171k),85,ROTA Lorenzo,20:13,Intermarché - Circus - Wanty
Stage 5 | Atripalda - Salerno,10/05,(171k),86,RIESEBEEK Oscar,20:30,Alpecin-Deceuninck
Stage 5 | Atripalda - Salerno,10/05,(171k),87,MOLARD Rudy,21:18,Groupama - FDJ
Stage 5 | Atripalda - Salerno,10/05,(171k),88,CAICEDO Jonathan Klever,21:21,EF Education-EasyPost
Stage 5 | Atripalda - Salerno,10/05,(171k),89,SCOTSON Callum,21:59,Team Jayco AlUla
Stage 5 | Atripalda - Salerno,10/05,(171k),90,TAARAMÄE Rein,22:52,Intermarché - Circus - Wanty
Stage 5 | Atripalda - Salerno,10/05,(171k),91,BAIS Mattia,23:16,EOLO-Kometa
Stage 5 | Atripalda - Salerno,10/05,(171k),92,WÜRTZ SCHMIDT Mads,23:44,Israel - Premier Tech
Stage 5 | Atripalda - Salerno,10/05,(171k),93,BERWICK Sebastian,23:58,Israel - Premier Tech
Stage 5 | Atripalda - Salerno,10/05,(171k),94,STEWART Jake,24:22,Groupama - FDJ
Stage 5 | Atripalda - Salerno,10/05,(171k),95,BOUET Maxime,24:46,Team Arkéa Samsic
Stage 5 | Atripalda - Salerno,10/05,(171k),96,KIRSCH Alex,25:28,Trek - Segafredo
Stage 5 | Atripalda - Salerno,10/05,(171k),97,MAYRHOFER Marius,25:39,Team DSM
Stage 5 | Atripalda - Salerno,10/05,(171k),98,PEDERSEN Mads,25:52,Trek - Segafredo
Stage 5 | Atripalda - Salerno,10/05,(171k),99,VENDRAME Andrea,25:54,AG2R Citroën Team
Stage 5 | Atripalda - Salerno,10/05,(171k),100,MULUBRHAN Henok,25:58,Green Project-Bardiani CSF-Faizanè
Stage 5 | Atripalda - Salerno,10/05,(171k),101,GIBBONS Ryan,26:23,UAE Team Emirates
Stage 5 | Atripalda - Salerno,10/05,(171k),102,DE MARCHI Alessandro,27:25,Team Jayco AlUla
Stage 5 | Atripalda - Salerno,10/05,(171k),103,SWIFT Ben,27:57,INEOS Grenadiers
Stage 5 | Atripalda - Salerno,10/05,(171k),104,DENNIS Rohan,28:05,Jumbo-Visma
Stage 5 | Atripalda - Salerno,10/05,(171k),105,AFFINI Edoardo,28:49,Jumbo-Visma
Stage 5 | Atripalda - Salerno,10/05,(171k),106,PUCCIO Salvatore,28:57,INEOS Grenadiers
Stage 5 | Atripalda - Salerno,10/05,(171k),107,RUSSO Clément,29:16,Team Arkéa Samsic
Stage 5 | Atripalda - Salerno,10/05,(171k),108,BAUDIN Alex,29:42,AG2R Citroën Team
Stage 5 | Atripalda - Salerno,10/05,(171k),109,STORK Florian,30:10,Team DSM
Stage 5 | Atripalda - Salerno,10/05,(171k),110,GUERNALEC Thibault,30:43,Team Arkéa Samsic
Stage 5 | Atripalda - Salerno,10/05,(171k),111,SÜTTERLIN Jasha,30:44,Bahrain - Victorious
Stage 5 | Atripalda - Salerno,10/05,(171k),112,MÄRKL Niklas,30:46,Team DSM
Stage 5 | Atripalda - Salerno,10/05,(171k),113,GANNA Filippo,31:07,INEOS Grenadiers
Stage 5 | Atripalda - Salerno,10/05,(171k),114,BONIFAZIO Niccolò,31:12,Intermarché - Circus - Wanty
Stage 5 | Atripalda - Salerno,10/05,(171k),115,DAINESE Alberto,31:13,Team DSM
Stage 5 | Atripalda - Salerno,10/05,(171k),116,RIES Michel,31:20,Team Arkéa Samsic
Stage 5 | Atripalda - Salerno,10/05,(171k),117,DE BOD Stefan,31:39,EF Education-EasyPost
Stage 5 | Atripalda - Salerno,10/05,(171k),118,SEVILLA Diego Pablo,31:49,EOLO-Kometa
Stage 5 | Atripalda - Salerno,10/05,(171k),119,ZOCCARATO Samuele,32:03,Green Project-Bardiani CSF-Faizanè
Stage 5 | Atripalda - Salerno,10/05,(171k),120,GABBURO Davide,32:05,Green Project-Bardiani CSF-Faizanè
Stage 5 | Atripalda - Salerno,10/05,(171k),121,ACKERMANN Pascal,32:15,UAE Team Emirates
Stage 5 | Atripalda - Salerno,10/05,(171k),122,TESFATSION Natnael,32:22,Trek - Segafredo
Stage 5 | Atripalda - Salerno,10/05,(171k),123,VERONA Carlos,32:42,Movistar Team
Stage 5 | Atripalda - Salerno,10/05,(171k),124,FETTER Erik,33:20,EOLO-Kometa
Stage 5 | Atripalda - Salerno,10/05,(171k),125,LEYSEN Senne,33:26,Alpecin-Deceuninck
Stage 5 | Atripalda - Salerno,10/05,(171k),126,SERRY Pieter,33:30,Soudal - Quick Step
Stage 5 | Atripalda - Salerno,10/05,(171k),127,BENEDETTI Cesare,33:37,BORA - hansgrohe
Stage 5 | Atripalda - Salerno,10/05,(171k),128,ROJAS José Joaquín,33:50,Movistar Team
Stage 5 | Atripalda - Salerno,10/05,(171k),129,PÖSTLBERGER Lukas,35:24,Team Jayco AlUla
Stage 5 | Atripalda - Salerno,10/05,(171k),130,WILLIAMS Stephen,35:45,Israel - Premier Tech
Stage 5 | Atripalda - Salerno,10/05,(171k),131,WARBASSE Larry,36:18,AG2R Citroën Team
Stage 5 | Atripalda - Salerno,10/05,(171k),132,CHAMPION Thomas,36:29,Cofidis
Stage 5 | Atripalda - Salerno,10/05,(171k),133,BIDARD François,36:36,Cofidis
Stage 5 | Atripalda - Salerno,10/05,(171k),134,COVI Alessandro,36:41,UAE Team Emirates
Stage 5 | Atripalda - Salerno,10/05,(171k),135,CLARKE Simon,37:15,Israel - Premier Tech
Stage 5 | Atripalda - Salerno,10/05,(171k),136,KONOVALOVAS Ignatas,38:22,Groupama - FDJ
Stage 5 | Atripalda - Salerno,10/05,(171k),137,HEPBURN Michael,39:40,Team Jayco AlUla
Stage 5 | Atripalda - Salerno,10/05,(171k),138,MAGLI Filippo,40:28,Green Project-Bardiani CSF-Faizanè
Stage 5 | Atripalda - Salerno,10/05,(171k),139,MILAN Jonathan,41:03,Bahrain - Victorious
Stage 5 | Atripalda - Salerno,10/05,(171k),140,SBARAGLI Kristian,41:15,Alpecin-Deceuninck
Stage 5 | Atripalda - Salerno,10/05,(171k),141,LIENHARD Fabian,41:42,Groupama - FDJ
Stage 5 | Atripalda - Salerno,10/05,(171k),142,QUARTERMAN Charlie,41:45,Team Corratec - Selle Italia
Stage 5 | Atripalda - Salerno,10/05,(171k),143,STEWART Campbell,42:12,Team Jayco AlUla
Stage 5 | Atripalda - Salerno,10/05,(171k),144,MOSCON Gianni,42:13,Astana Qazaqstan Team
Stage 5 | Atripalda - Salerno,10/05,(171k),145,KONYCHEV Alexander,42:21,Team Corratec - Selle Italia
Stage 5 | Atripalda - Salerno,10/05,(171k),146,RIOU Alan,42:27,Team Arkéa Samsic
Stage 5 | Atripalda - Salerno,10/05,(171k),147,TORRES Albert,42:34,Movistar Team
Stage 5 | Atripalda - Salerno,10/05,(171k),148,TOUMIRE Hugo,42:41,Cofidis
Stage 5 | Atripalda - Salerno,10/05,(171k),149,CONSONNI Simone,",,",Cofidis
Stage 5 | Atripalda - Salerno,10/05,(171k),150,MARIT Arne,42:42,Intermarché - Circus - Wanty
Stage 5 | Atripalda - Salerno,10/05,(171k),151,ARASHIRO Yukiya,42:59,Bahrain - Victorious
Stage 5 | Atripalda - Salerno,10/05,(171k),152,DELETTRE Alexandre,43:02,Cofidis
Stage 5 | Atripalda - Salerno,10/05,(171k),153,FIORELLI Filippo,43:11,Green Project-Bardiani CSF-Faizanè
Stage 5 | Atripalda - Salerno,10/05,(171k),154,CAVENDISH Mark,43:14,Astana Qazaqstan Team
Stage 5 | Atripalda - Salerno,10/05,(171k),155,CHEREL Mikaël,43:21,AG2R Citroën Team
Stage 5 | Atripalda - Salerno,10/05,(171k),156,BALLERINI Davide,43:27,Soudal - Quick Step
Stage 5 | Atripalda - Salerno,10/05,(171k),157,KRIEGER Alexander,",,",Alpecin-Deceuninck
Stage 5 | Atripalda - Salerno,10/05,(171k),158,CIMOLAI Davide,43:29,Cofidis
Stage 5 | Atripalda - Salerno,10/05,(171k),159,DEKKER David,43:36,Team Arkéa Samsic
Stage 5 | Atripalda - Salerno,10/05,(171k),160,DALLA VALLE Nicolas,44:25,Team Corratec - Selle Italia
Stage 5 | Atripalda - Salerno,10/05,(171k),161,VACEK Karel,44:40,Team Corratec - Selle Italia
Stage 5 | Atripalda - Salerno,10/05,(171k),162,IACCHI Alessandro,44:52,Team Corratec - Selle Italia
Stage 5 | Atripalda - Salerno,10/05,(171k),163,HVIDEBERG Jonas Iversby,45:23,Team DSM
Stage 5 | Atripalda - Salerno,10/05,(171k),164,ČERNÝ Josef,46:35,Soudal - Quick Step
Stage 5 | Atripalda - Salerno,10/05,(171k),165,HOOLE Daan,47:44,Trek - Segafredo
Stage 5 | Atripalda - Salerno,10/05,(171k),166,VERGAERDE Otto,48:10,Trek - Segafredo
Stage 5 | Atripalda - Salerno,10/05,(171k),167,GAVIRIA Fernando,48:15,Movistar Team
Stage 5 | Atripalda - Salerno,10/05,(171k),168,KANTER Max,48:20,Movistar Team
Stage 5 | Atripalda - Salerno,10/05,(171k),169,TUSVELD Martijn,50:08,Team DSM
Stage 5 | Atripalda - Salerno,10/05,(171k),170,STOJNIĆ Veljko,50:49,Team Corratec - Selle Italia
Stage 5 | Atripalda - Salerno,10/05,(171k),171,GLOAG Thomas,51:40,Jumbo-Visma
Stage 5 | Atripalda - Salerno,10/05,(171k),172,GANDIN Stefano,52:00,Team Corratec - Selle Italia
Stage 6 | Napoli - Napoli,11/05,(162k),1,LEKNESSUND Andreas,22:50:48,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),2,EVENEPOEL Remco,0:28,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),3,PARET-PEINTRE Aurélien,0:30,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),4,ALMEIDA João,1:00,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),5,ROGLIČ Primož,1:12,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),6,THOMAS Geraint,1:26,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),7,VLASOV Aleksandr,",,",BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),8,SKUJIŅŠ Toms,1:29,Trek - Segafredo
Stage 6 | Napoli - Napoli,11/05,(162k),9,GEOGHEGAN HART Tao,1:30,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),10,ALBANESE Vincenzo,1:39,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),11,KÄMNA Lennard,1:54,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),12,CARUSO Damiano,1:59,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),13,DUNBAR Eddie,2:15,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),14,SIVAKOV Pavel,2:23,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),15,HAIG Jack,2:26,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),16,DE PLUS Laurens,2:32,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),17,PINOT Thibaut,2:33,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),18,ARENSMAN Thymen,",,",INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),19,BARTA Will,2:45,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),20,CARTHY Hugh,2:46,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),21,VINE Jay,2:47,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),22,BUITRAGO Santiago,2:52,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),23,POZZOVIVO Domenico,3:01,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),24,URÁN Rigoberto,3:34,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),25,RUBIO Einer Augusto,3:35,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),26,KONRAD Patrick,4:24,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),27,CONCI Nicola,4:35,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),28,VELASCO Simone,5:10,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),29,FORTUNATO Lorenzo,5:27,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),30,BARGUIL Warren,5:42,Team Arkéa Samsic
Stage 6 | Napoli - Napoli,11/05,(162k),31,HUYS Laurens,6:08,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),32,CEPEDA Jefferson Alexander,6:27,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),33,COVILI Luca,6:35,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),34,VAN WILDER Ilan,6:47,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),35,MOLLEMA Bauke,7:14,Trek - Segafredo
Stage 6 | Napoli - Napoli,11/05,(162k),36,VERVAEKE Louis,7:41,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),37,PETILLI Simone,7:49,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),38,SÁNCHEZ Luis León,7:51,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),39,VAN DEN BERG Lars,7:52,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),40,LASTRA Jonathan,7:55,Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),41,HESSMANN Michel,9:01,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),42,KÜNG Stefan,9:04,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),43,BOUWMAN Koen,9:31,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),44,FORMOLO Davide,",,",UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),45,MCNULTY Brandon,10:10,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),46,TONELLI Alessandro,10:11,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),47,ZANA Filippo,10:32,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),48,FRIGO Marco,10:33,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),49,KUSS Sepp,11:24,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),50,GEE Derek,12:20,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),51,CATTANEO Mattia,12:31,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),52,ULISSI Diego,12:39,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),53,ARMIRAIL Bruno,13:28,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),54,OOMEN Sam,13:37,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),55,OLDANI Stefano,14:08,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),56,MATTHEWS Michael,14:30,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),57,GHEBREIGZABHIER Amanuel,14:45,Trek - Segafredo
Stage 6 | Napoli - Napoli,11/05,(162k),58,VANHOUCKE Harm,15:58,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),59,PRODHOMME Nicolas,16:07,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),60,ZAMBANINI Edoardo,16:14,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),61,PALZER Anton,16:26,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),62,CORT Magnus,16:33,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),63,PARET-PEINTRE Valentin,17:03,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),64,DENZ Nico,18:22,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),65,GROVES Kaden,18:23,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),66,PASQUALON Andrea,18:32,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),67,JUNGELS Bob,18:37,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),68,BETTIOL Alberto,19:34,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),69,DOMBROWSKI Joe,20:12,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),70,ROTA Lorenzo,20:13,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),71,CAICEDO Jonathan Klever,21:21,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),72,HIRT Jan,22:29,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),73,SCOTSON Callum,22:31,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),74,TAARAMÄE Rein,22:52,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),75,BAIS Mattia,23:16,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),76,RICCITELLO Matthew,23:23,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),77,STEWART Jake,24:22,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),78,PRONSKIY Vadim,25:26,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),79,MAYRHOFER Marius,25:39,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),80,PEDERSEN Mads,25:42,Trek - Segafredo
Stage 6 | Napoli - Napoli,11/05,(162k),81,HEALY Ben,26:21,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),82,GIBBONS Ryan,26:23,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),83,MOLARD Rudy,26:34,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),84,BYSTRØM Sven Erik,26:56,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),85,RODRÍGUEZ Óscar,27:03,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),86,WÜRTZ SCHMIDT Mads,27:06,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),87,DE MARCHI Alessandro,27:23,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),88,SWIFT Ben,27:57,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),89,PUCCIO Salvatore,28:57,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),90,GAVAZZI Francesco,30:19,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),91,SÜTTERLIN Jasha,30:44,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),92,REX Laurenz,30:51,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),93,GANNA Filippo,31:39,INEOS Grenadiers
Stage 6 | Napoli - Napoli,11/05,(162k),94,SEVILLA Diego Pablo,31:49,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),95,BAIS Davide,31:57,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),96,GABBURO Davide,32:05,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),97,ACKERMANN Pascal,32:11,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),98,MAESTRI Mirco,32:45,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),99,SCARONI Christian,32:47,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),100,VERRE Alessandro,33:13,Team Arkéa Samsic
Stage 6 | Napoli - Napoli,11/05,(162k),101,STORK Florian,33:32,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),102,LEYSEN Senne,33:49,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),103,ROJAS José Joaquín,33:50,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),104,RIES Michel,34:42,Team Arkéa Samsic
Stage 6 | Napoli - Napoli,11/05,(162k),105,ALEOTTI Giovanni,35:05,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),106,DENNIS Rohan,35:11,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),107,TESFATSION Natnael,35:44,Trek - Segafredo
Stage 6 | Napoli - Napoli,11/05,(162k),108,BATTISTELLA Samuele,36:00,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),109,WARBASSE Larry,36:18,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),110,BIDARD François,36:36,Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),111,FETTER Erik,36:42,EOLO-Kometa
Stage 6 | Napoli - Napoli,11/05,(162k),112,BERWICK Sebastian,36:51,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),113,PÖSTLBERGER Lukas,36:54,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),114,BENEDETTI Cesare,36:59,BORA - hansgrohe
Stage 6 | Napoli - Napoli,11/05,(162k),115,CLARKE Simon,37:12,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),116,GUERNALEC Thibault,37:49,Team Arkéa Samsic
Stage 6 | Napoli - Napoli,11/05,(162k),117,MARCELLUSI Martin,37:52,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),118,RIESEBEEK Oscar,38:55,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),119,HEPBURN Michael,39:40,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),120,VERONA Carlos,39:48,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),121,MULUBRHAN Henok,39:52,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),122,SERRY Pieter,40:36,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),123,MILAN Jonathan,40:57,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),124,SBARAGLI Kristian,41:15,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),125,TORRES Albert,42:34,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),126,TOUMIRE Hugo,42:41,Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),127,CONSONNI Simone,",,",Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),128,BOUET Maxime,43:11,Team Arkéa Samsic
Stage 6 | Napoli - Napoli,11/05,(162k),129,CHEREL Mikaël,43:21,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),130,KIRSCH Alex,43:53,Trek - Segafredo
Stage 6 | Napoli - Napoli,11/05,(162k),131,VENDRAME Andrea,44:19,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),132,VACEK Karel,44:40,Team Corratec - Selle Italia
Stage 6 | Napoli - Napoli,11/05,(162k),133,AFFINI Edoardo,44:55,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),134,DAINESE Alberto,45:07,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),135,WILLIAMS Stephen,45:35,Israel - Premier Tech
Stage 6 | Napoli - Napoli,11/05,(162k),136,BAUDIN Alex,48:07,AG2R Citroën Team
Stage 6 | Napoli - Napoli,11/05,(162k),137,GAVIRIA Fernando,48:15,Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),138,MÄRKL Niklas,49:11,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),139,KANTER Max,",,",Movistar Team
Stage 6 | Napoli - Napoli,11/05,(162k),140,STEWART Campbell,49:18,Team Jayco AlUla
Stage 6 | Napoli - Napoli,11/05,(162k),141,BONIFAZIO Niccolò,49:37,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),142,ČERNÝ Josef,49:39,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),143,DE BOD Stefan,50:04,EF Education-EasyPost
Stage 6 | Napoli - Napoli,11/05,(162k),144,CHAMPION Thomas,50:23,Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),145,ZOCCARATO Samuele,50:28,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),146,COVI Alessandro,50:35,UAE Team Emirates
Stage 6 | Napoli - Napoli,11/05,(162k),147,BALLERINI Davide,53:17,Soudal - Quick Step
Stage 6 | Napoli - Napoli,11/05,(162k),148,MAGLI Filippo,53:21,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),149,QUARTERMAN Charlie,55:39,Team Corratec - Selle Italia
Stage 6 | Napoli - Napoli,11/05,(162k),150,DELETTRE Alexandre,55:55,Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),151,KRIEGER Alexander,56:35,Alpecin-Deceuninck
Stage 6 | Napoli - Napoli,11/05,(162k),152,KONOVALOVAS Ignatas,56:47,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),153,KONYCHEV Alexander,58:27,Team Corratec - Selle Italia
Stage 6 | Napoli - Napoli,11/05,(162k),154,GLOAG Thomas,58:46,Jumbo-Visma
Stage 6 | Napoli - Napoli,11/05,(162k),155,LIENHARD Fabian,1:00:07,Groupama - FDJ
Stage 6 | Napoli - Napoli,11/05,(162k),156,MOSCON Gianni,1:00:38,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),157,RIOU Alan,1:00:52,Team Arkéa Samsic
Stage 6 | Napoli - Napoli,11/05,(162k),158,MARIT Arne,1:01:07,Intermarché - Circus - Wanty
Stage 6 | Napoli - Napoli,11/05,(162k),159,ARASHIRO Yukiya,1:01:24,Bahrain - Victorious
Stage 6 | Napoli - Napoli,11/05,(162k),160,HVIDEBERG Jonas Iversby,1:01:29,Team DSM
Stage 6 | Napoli - Napoli,11/05,(162k),161,FIORELLI Filippo,1:01:36,Green Project-Bardiani CSF-Faizanè
Stage 6 | Napoli - Napoli,11/05,(162k),162,CAVENDISH Mark,1:01:39,Astana Qazaqstan Team
Stage 6 | Napoli - Napoli,11/05,(162k),163,CIMOLAI Davide,1:01:54,Cofidis
Stage 6 | Napoli - Napoli,11/05,(162k),164,DALLA VALLE Nicolas,1:02:50,Team Corratec - Selle Italia
Stage 6 | Napoli - Napoli,11/05,(162k),165,IACCHI Alessandro,1:03:17,Team Corratec - Selle Italia
